date,symbol,qty,dividend_per_share_gross,currency,fx_to_base,withholding_rate,domestic_tax_rate,broker_fee,dividend_gross,withholding_tax,domestic_tax,dividend_net,notes
2020-09-21,ENI.MI,22.00,0.12,EUR,1.00,0.00,0.26,0.00,2.64,0.00,0.69,1.95,from price_data['Dividend']
2020-12-21,ENG.MC,22.00,0.67,EUR,1.00,0.00,0.30,0.00,14.78,0.00,4.44,10.35,from price_data['Dividend']
2021-05-24,ENI.MI,22.00,0.24,EUR,1.00,0.00,0.26,0.00,5.28,0.00,1.37,3.91,from price_data['Dividend']
2021-05-24,ISP.MI,90.00,0.04,EUR,1.00,0.00,0.26,0.00,3.21,0.00,0.84,2.38,from price_data['Dividend']
2021-07-06,ENG.MC,22.00,1.01,EUR,1.00,0.00,0.30,0.00,22.18,0.00,6.65,15.52,from price_data['Dividend']
2021-09-20,ENI.MI,22.00,0.43,EUR,1.00,0.00,0.26,0.00,9.46,0.00,2.46,7.00,from price_data['Dividend']
2021-10-18,ISP.MI,90.00,0.10,EUR,1.00,0.00,0.26,0.00,8.96,0.00,2.33,6.63,from price_data['Dividend']
2021-11-22,ISP.MI,90.00,0.07,EUR,1.00,0.00,0.26,0.00,6.49,0.00,1.69,4.80,from price_data['Dividend']
2021-12-17,ENG.MC,22.00,0.68,EUR,1.00,0.00,0.30,0.00,14.96,0.00,4.49,10.47,from price_data['Dividend']
2022-05-23,ENI.MI,22.00,0.43,EUR,1.00,0.00,0.26,0.00,9.46,0.00,2.46,7.00,from price_data['Dividend']
2022-05-23,ISP.MI,90.00,0.08,EUR,1.00,0.00,0.26,0.00,7.10,0.00,1.85,5.25,from price_data['Dividend']
2022-07-05,ENG.MC,22.00,1.02,EUR,1.00,0.00,0.30,0.00,22.44,0.00,6.73,15.71,from price_data['Dividend']
2022-09-19,ENI.MI,22.00,0.22,EUR,1.00,0.00,0.26,0.00,4.84,0.00,1.26,3.58,from price_data['Dividend']
2022-11-21,ENI.MI,22.00,0.22,EUR,1.00,0.00,0.26,0.00,4.84,0.00,1.26,3.58,from price_data['Dividend']
2022-11-21,ISP.MI,90.00,0.07,EUR,1.00,0.00,0.26,0.00,6.64,0.00,1.73,4.92,from price_data['Dividend']
2022-12-19,ENG.MC,22.00,0.69,EUR,1.00,0.00,0.30,0.00,15.14,0.00,4.54,10.60,from price_data['Dividend']
2023-03-20,ENI.MI,22.00,0.22,EUR,1.00,0.00,0.26,0.00,4.84,0.00,1.26,3.58,from price_data['Dividend']
2023-05-22,ENI.MI,22.00,0.22,EUR,1.00,0.00,0.26,0.00,4.84,0.00,1.26,3.58,from price_data['Dividend']
2023-05-22,ISP.MI,90.00,0.09,EUR,1.00,0.00,0.26,0.00,8.11,0.00,2.11,6.00,from price_data['Dividend']
2023-07-04,ENG.MC,22.00,1.03,EUR,1.00,0.00,0.30,0.00,22.70,0.00,6.81,15.89,from price_data['Dividend']
2023-09-18,ENI.MI,22.00,0.24,EUR,1.00,0.00,0.26,0.00,5.28,0.00,1.37,3.91,from price_data['Dividend']
2023-11-20,ENI.MI,22.00,0.23,EUR,1.00,0.00,0.26,0.00,5.06,0.00,1.32,3.74,from price_data['Dividend']
2023-11-20,ISP.MI,90.00,0.14,EUR,1.00,0.00,0.26,0.00,12.96,0.00,3.37,9.59,from price_data['Dividend']
2023-12-20,ENG.MC,22.00,0.70,EUR,1.00,0.00,0.30,0.00,15.31,0.00,4.59,10.72,from price_data['Dividend']
2024-03-18,ENI.MI,22.00,0.24,EUR,1.00,0.00,0.26,0.00,5.28,0.00,1.37,3.91,from price_data['Dividend']
2024-05-20,ENI.MI,22.00,0.23,EUR,1.00,0.00,0.26,0.00,5.06,0.00,1.32,3.74,from price_data['Dividend']
2024-05-20,ISP.MI,90.00,0.15,EUR,1.00,0.00,0.26,0.00,13.68,0.00,3.56,10.12,from price_data['Dividend']
2024-07-02,ENG.MC,22.00,1.04,EUR,1.00,0.00,0.30,0.00,22.97,0.00,6.89,16.08,from price_data['Dividend']
2024-09-23,ENI.MI,22.00,0.25,EUR,1.00,0.00,0.26,0.00,5.50,0.00,1.43,4.07,from price_data['Dividend']
2024-11-18,ENI.MI,22.00,0.25,EUR,1.00,0.00,0.26,0.00,5.50,0.00,1.43,4.07,from price_data['Dividend']
2024-11-18,ISP.MI,90.00,0.17,EUR,1.00,0.00,0.26,0.00,15.30,0.00,3.98,11.32,from price_data['Dividend']
2024-12-10,ENG.MC,22.00,0.40,EUR,1.00,0.00,0.30,0.00,8.80,0.00,2.64,6.16,from price_data['Dividend']
2025-03-24,ENI.MI,22.00,0.25,EUR,1.00,0.00,0.26,0.00,5.50,0.00,1.43,4.07,from price_data['Dividend']
2025-05-19,ENI.MI,22.00,0.25,EUR,1.00,0.00,0.26,0.00,5.50,0.00,1.43,4.07,from price_data['Dividend']
2025-05-19,ISP.MI,90.00,0.17,EUR,1.00,0.00,0.26,0.00,15.39,0.00,4.00,11.39,from price_data['Dividend']
